	BioProject	Sample	Read1_before	Read1_after	Read2_before	Read2_after	Adapter_trimmed	Kraken_total	Classified_reads	Classified_%	Unclassified_reads	Unclassified_%	File
234	PRJNA763023	SRR16124361	39924654	38637111	39924654	38637111	1932970	77274222	70611694	91.38	6662528	8.62	693415_158_PRJNA763023_SRR16124361.err
235	PRJEB72526		16843104	16419079	16843104	16419079	323354	32838158	28726505	87.48	4111653	12.52	234324_13_PRJEB72526_ERR14225635.err
237	PRJEB72526		21087160	20643518	21087160	20643518	239212	41287036	36407723	88.18	4879313	11.82	234324_47_PRJEB72526_ERR14219004.err
239	PRJNA1167935	SRR30861097	40264058	38410918	40264058	38410918	20388	76821836	66689601	86.81	10132235	13.19	234217_32_PRJNA1167935_SRR30861097.err
240	PRJNA1237248	SRR32733194	47956998	47942222			0	47942222	40852677	85.21	7089545	14.79	234325_365_PRJNA1237248_SRR32733194.err
241	PRJEB72526		13220660	12541855	13220660	12541855	52778	25083710	22526336	89.80	2557374	10.20	234324_6_PRJEB72526_ERR14218617.err
242	PRJNA1237248	SRR32733316	42801079	42781544			0	42781544	37985544	88.79	4796000	11.21	234325_363_PRJNA1237248_SRR32733316.err
243	PRJNA763023	SRR16124236	36148858	35615988	36148858	35615988	2165482	71231976	62590669	87.87	8641307	12.13	693415_18_PRJNA763023_SRR16124236.err
244	PRJNA1237248	SRR32733433	33836588	33825092			0	33825092	30711833	90.80	3113259	9.20	234325_72_PRJNA1237248_SRR32733433.err
245	PRJNA1237248	SRR32732995	41481163	41463455			0	41463455	35164777	84.81	6298678	15.19	234325_630_PRJNA1237248_SRR32732995.err
246	PRJNA1237248	SRR32733540	45158164	45138473			0	45138473	40170564	88.99	4967909	11.01	234325_406_PRJNA1237248_SRR32733540.err
247	PRJEB72523		39249922	37841262	39249922	37841262	12098	75682524	67695074	89.45	7987450	10.55	234221_80_PRJEB72523_ERR14141110.err
249	PRJNA429097	SRR6456356	20221037	18897091	20221037	18897091	79066	37794182	33173182	87.77	4621000	12.23	693416_26_PRJNA429097_SRR6456356.err
251	PRJEB59350		23489403	19141649	23489403	19141649	24876	38283298	34822127	90.96	3461171	9.04	234322_51_PRJEB59350_ERR10819113.err
252	PRJNA763023	SRR16124183	36793878	36288477	36793878	36288477	3022226	72576954	66564185	91.72	6012769	8.28	693415_132_PRJNA763023_SRR16124183.err
254	PRJEB72525		6679806	4109946	6679806	4109946	247318	8219892	6675727	81.21	1544165	18.79	232906_66_PRJEB72525_ERR14205379.err
256	PRJNA1237248	SRR32732850	37571967	37557910			0	37557910	33808225	90.02	3749685	9.98	234325_155_PRJNA1237248_SRR32732850.err
257	PRJNA1237248	SRR32733243	58453909	58429454			0	58429454	51657310	88.41	6772144	11.59	234325_652_PRJNA1237248_SRR32733243.err
259	PRJNA1237248	SRR32733457	51568319	51550105			0	51550105	46200993	89.62	5349112	10.38	234325_802_PRJNA1237248_SRR32733457.err
260	PRJEB72525		59671773	57089771	59671773	57089771	39856	114179542	102402153	89.69	11777389	10.31	232906_81_PRJEB72525_ERR14205378.err
262	PRJNA1237248	SRR32733193	52752270	52732838			0	52732838	47115897	89.35	5616941	10.65	234325_713_PRJNA1237248_SRR32733193.err
263	PRJEB72524		7424475	7029261	7424475	7029261	328268	14058522	12343577	87.80	1714945	12.20	694103_124_PRJEB72524_ERR14205133.err
265	PRJNA763023	SRR16124212	42040906	40796628	42040906	40796628	2935322	81593256	74300565	91.06	7292691	8.94	693415_97_PRJNA763023_SRR16124212.err
266	PRJEB59350		23699548	19484958	23699548	19484958	56698	38969916	33769703	86.66	5200213	13.34	234322_2_PRJEB59350_ERR10822937.err
267	PRJNA1237248	SRR32733365	41405178	41390514			0	41390514	36830630	88.98	4559884	11.02	234325_741_PRJNA1237248_SRR32733365.err
268	PRJNA1237248	SRR32733402	36302580	36287612			0	36287612	32006020	88.20	4281592	11.80	234325_346_PRJNA1237248_SRR32733402.err
269	PRJEB59350		13864166	9937714	13864166	9937714	25286	19875428	16975498	85.41	2899930	14.59	234322_76_PRJEB59350_ERR10825384.err
270	PRJNA731589	SRR14610651	42842874	42081997	42842874	42081997	110352	84163994	74959393	89.06	9204601	10.94	693420_109_PRJNA731589_SRR14610651.err
271	PRJNA1237248	SRR32733054	35190509	35173749			0	35173749	31273275	88.91	3900474	11.09	234325_210_PRJNA1237248_SRR32733054.err
272	PRJNA763023	SRR16124196	37946089	37239576	37946089	37239576	1734404	74479152	68490219	91.96	5988933	8.04	693415_32_PRJNA763023_SRR16124196.err
273	PRJEB72525		12683204	7787862	12683204	7787862	420470	15575724	13854714	88.95	1721010	11.05	232906_34_PRJEB72525_ERR14205213.err
274	PRJEB72523		6781670	6559244	6781670	6559244	1904	13118488	11914412	90.82	1204076	9.18	234221_52_PRJEB72523_ERR14129564.err
275	PRJNA731589	SRR14610665	33660092	33255502	33660092	33255502	591235	66511004	58345382	87.72	8165622	12.28	693420_11_PRJNA731589_SRR14610665.err
277	PRJEB72525		5767904	3363263	5767904	3363263	237780	6726526	5478604	81.45	1247922	18.55	232906_120_PRJEB72525_ERR14205200.err
279	PRJNA1237248	SRR32732826	53423968	53398864			0	53398864	47525563	89.00	5873301	11.00	234325_603_PRJNA1237248_SRR32732826.err
280	PRJNA763023	SRR16124262	47645898	46660853	47645898	46660853	2656040	93321706	83303701	89.27	10018005	10.73	693415_28_PRJNA763023_SRR16124262.err
281	PRJNA1237248	SRR32733529	56342671	56316645			0	56316645	50190158	89.12	6126487	10.88	234325_769_PRJNA1237248_SRR32733529.err
284	PRJNA763023	SRR16124177	36470079	36008122	36470079	36008122	2402174	72016244	65305700	90.68	6710544	9.32	693415_50_PRJNA763023_SRR16124177.err
287	PRJNA1237248	SRR32733255	44222934	44202764			0	44202764	41054652	92.88	3148112	7.12	234325_75_PRJNA1237248_SRR32733255.err
288	PRJNA447983	SRR6915174	16900543	16544124	16900543	16544124	47906	33088248	28171304	85.14	4916944	14.86	693749_100_PRJNA447983_SRR6915174.err
289	PRJNA1237248	SRR32733600	33814703	33800981			0	33800981	30043921	88.88	3757060	11.12	234325_279_PRJNA1237248_SRR32733600.err
290	PRJNA1237248	SRR32733453	41979047	41961011			0	41961011	36920881	87.99	5040130	12.01	234325_410_PRJNA1237248_SRR32733453.err
292	PRJNA1237248	SRR32733633	48513801	48491754			0	48491754	43788454	90.30	4703300	9.70	234325_101_PRJNA1237248_SRR32733633.err
293	PRJEB72523		43989514	42400951	43989514	42400951	200750	84801902	73666083	86.87	11135819	13.13	234221_141_PRJEB72523_ERR14141112.err
294	PRJNA447983	SRR6915111	35522909	34975456	35522909	34975456	152388	69950912	62100925	88.78	7849987	11.22	693749_24_PRJNA447983_SRR6915111.err
295	PRJNA731589	SRR14610719	29220076	28817044	29220076	28817044	107090	57634088	53385583	92.63	4248505	7.37	693420_39_PRJNA731589_SRR14610719.err
296	PRJEB59350		23401289	21521575	23401289	21521575	33314	43043150	38501970	89.45	4541180	10.55	234322_100_PRJEB59350_ERR10836464.err
297	PRJNA447983	SRR6915204	27920613	27203628	27920613	27203628	226926	54407256	48246785	88.68	6160471	11.32	693749_0_PRJNA447983_SRR6915204.err
298	PRJNA763023	SRR16124301	34993976	33919225	34993976	33919225	2521568	67838450	61491746	90.64	6346704	9.36	693415_118_PRJNA763023_SRR16124301.err
301	PRJEB72523		13239968	12712714	13239968	12712714	4710	25425428	22596026	88.87	2829402	11.13	234221_147_PRJEB72523_ERR14134532.err
302	PRJEB72524		11415733	10882116	11415733	10882116	5764	21764232	19070453	87.62	2693779	12.38	694103_192_PRJEB72524_ERR14205137.err
303	PRJEB72524		54687824	51487210	54687824	51487210	2185832	102974420	92428649	89.76	10545771	10.24	694103_6_PRJEB72524_ERR14205026.err
304	PRJNA429097	SRR6451663	18917400	17758060	18917400	17758060	26116	35516120	30662746	86.33	4853374	13.67	693416_139_PRJNA429097_SRR6451663.err
305	PRJNA1237248	SRR32733692	42463246	42446495			0	42446495	38344107	90.34	4102388	9.66	234325_374_PRJNA1237248_SRR32733692.err
306	PRJNA1237248	SRR32733047	29580815	29562764			0	29562764	26990168	91.30	2572596	8.70	234325_528_PRJNA1237248_SRR32733047.err
307	PRJNA1237248	SRR32733119	40341441	40324243			0	40324243	36362934	90.18	3961309	9.82	234325_226_PRJNA1237248_SRR32733119.err
308	PRJEB59350		12257981	8545068	12257981	8545068	55010	17090136	15318374	89.63	1771762	10.37	234322_101_PRJEB59350_ERR10821938.err
311	PRJNA1167935	SRR30861137	42726173	40281496	42726173	40281496	18682	80562992	70537966	87.56	10025026	12.44	234217_63_PRJNA1167935_SRR30861137.err
314	PRJNA1237248	SRR32733233	63585177	63567101			0	63567101	56419146	88.76	7147955	11.24	234325_230_PRJNA1237248_SRR32733233.err
315	PRJEB72523		31526680	30028680	31526680	30028680	17464	60057360	51778517	86.22	8278843	13.78	234221_31_PRJEB72523_ERR14141100.err
316	PRJEB72523		6985523	6645712	6985523	6645712	4064	13291424	11460192	86.22	1831232	13.78	234221_46_PRJEB72523_ERR14129563.err
317	PRJNA447983	SRR6915166	23425095	22869486	23425095	22869486	62196	45738972	38957371	85.17	6781601	14.83	693749_91_PRJNA447983_SRR6915166.err
318	PRJNA1237248	SRR32733448	54882822	54860260			0	54860260	50017867	91.17	4842393	8.83	234325_267_PRJNA1237248_SRR32733448.err
319	PRJNA429097	SRR6456136	21335210	19809387	21335210	19809387	14478	39618774	34698915	87.58	4919859	12.42	693416_155_PRJNA429097_SRR6456136.err
320	PRJNA429097	SRR6456200	18157331	16577119	18157331	16577119	97204	33154238	25548817	77.06	7605421	22.94	693416_183_PRJNA429097_SRR6456200.err
321	PRJNA1167935	SRR30861113	46702851	44386443	46702851	44386443	18898	88772886	79033115	89.03	9739771	10.97	234217_2_PRJNA1167935_SRR30861113.err
322	PRJNA447983	SRR6915216	12763399	12451771	12763399	12451771	95886	24903542	22268290	89.42	2635252	10.58	693749_131_PRJNA447983_SRR6915216.err
323	PRJNA1237248	SRR32733108	34124021	34111011			0	34111011	30604478	89.72	3506533	10.28	234325_108_PRJNA1237248_SRR32733108.err
324	PRJNA763023	SRR16124340	28614365	28099836	28614365	28099836	2007434	56199672	50339432	89.57	5860240	10.43	693415_11_PRJNA763023_SRR16124340.err
325	PRJEB59350		11017693	8613418	11017693	8613418	88176	17226836	15465017	89.77	1761819	10.23	234322_25_PRJEB59350_ERR10818795.err
326	PRJNA1237248	SRR32733533	45522710	45503838			0	45503838	41381491	90.94	4122347	9.06	234325_712_PRJNA1237248_SRR32733533.err
327	PRJNA1237248	SRR32733130	48539681	48520180			0	48520180	41812289	86.18	6707891	13.82	234325_7_PRJNA1237248_SRR32733130.err
328	PRJEB59350		18389583	16958373	18389583	16958373	17106	33916746	30432562	89.73	3484184	10.27	234322_73_PRJEB59350_ERR10825153.err
329	PRJNA1237248	SRR32733201	58188903	58164441			0	58164441	52877739	90.91	5286702	9.09	234325_127_PRJNA1237248_SRR32733201.err
330	PRJEB72525		8042774	4586512	8042774	4586512	296134	9173024	8198945	89.38	974079	10.62	232906_95_PRJEB72525_ERR14205203.err
331	PRJNA1237248	SRR32733109	55976540	55952528			0	55952528	48287462	86.30	7665066	13.70	234325_334_PRJNA1237248_SRR32733109.err
332	PRJEB72524		12350287	11729337	12350287	11729337	543624	23458674	20530106	87.52	2928568	12.48	694103_94_PRJEB72524_ERR14204786.err
333	PRJNA731589	SRR14610725	38789582	38308473	38789582	38308473	422909	76616946	62345048	81.37	14271898	18.63	693420_113_PRJNA731589_SRR14610725.err
334	PRJNA1237248	SRR32733091	44893508	44874497			0	44874497	40166207	89.51	4708290	10.49	234325_197_PRJNA1237248_SRR32733091.err
337	PRJEB72524		14177927	13397161	14177927	13397161	609514	26794322	23123126	86.30	3671196	13.70	694103_63_PRJEB72524_ERR14204966.err
338	PRJNA447983	SRR6915184	21057139	20664455	21057139	20664455	298256	41328910	35526808	85.96	5802102	14.04	693749_123_PRJNA447983_SRR6915184.err
339	PRJNA763023	SRR16124359	39515675	38315564	39515675	38315564	2173932	76631128	66471504	86.74	10159624	13.26	693415_70_PRJNA763023_SRR16124359.err
340	PRJNA763023	SRR16124276	53186011	51997181	53186011	51997181	2729386	103994362	95115560	91.46	8878802	8.54	693415_159_PRJNA763023_SRR16124276.err
341	PRJEB72523		14361537	13920033	14361537	13920033	34790	27840066	25551124	91.78	2288942	8.22	234221_51_PRJEB72523_ERR14134662.err
342	PRJNA447983	SRR6915099	19360972	19109268	19360972	19109268	225766	38218536	33573323	87.85	4645213	12.15	693749_49_PRJNA447983_SRR6915099.err
343	PRJEB72525		14045272	8714329	14045272	8714329	546578	17428658	14701264	84.35	2727394	15.65	232906_63_PRJEB72525_ERR14205989.err
344	PRJEB59350		106070086	97173626	106070086	97173626	78916	194347252	172016135	88.51	22331117	11.49	234322_41_PRJEB59350_ERR10821926.err
345	PRJNA1237248	SRR32732900	52722276	52700863			0	52700863	47995208	91.07	4705655	8.93	234325_438_PRJNA1237248_SRR32732900.err
346	PRJNA763023	SRR16124328	36108871	35437869	36108871	35437869	2360822	70875738	64199108	90.58	6676630	9.42	693415_79_PRJNA763023_SRR16124328.err
348	PRJNA1237248	SRR32733309	35950479	35935350			0	35935350	31876082	88.70	4059268	11.30	234325_774_PRJNA1237248_SRR32733309.err
349	PRJNA1237248	SRR32732873	35882949	35872258			0	35872258	32133157	89.58	3739101	10.42	234325_316_PRJNA1237248_SRR32732873.err
351	PRJNA1237248	SRR32732996	40432287	40416780			0	40416780	36564919	90.47	3851861	9.53	234325_55_PRJNA1237248_SRR32732996.err
352	PRJNA763023	SRR16124309	30181611	29148977	30181611	29148977	2030086	58297954	51303169	88.00	6994785	12.00	693415_169_PRJNA763023_SRR16124309.err
353	PRJNA429097	SRR6456353	17766429	13243124	17766429	13243124	134322	26486248	22281007	84.12	4205241	15.88	693416_25_PRJNA429097_SRR6456353.err
354	PRJEB72523		7205759	6908390	7205759	6908390	3414	13816780	12167492	88.06	1649288	11.94	234221_112_PRJEB72523_ERR14129567.err
355	PRJNA1237248	SRR32732814	45177895	45158018			0	45158018	41025255	90.85	4132763	9.15	234325_209_PRJNA1237248_SRR32732814.err
356	PRJNA1237248	SRR32733124	44715571	44698291			0	44698291	39414146	88.18	5284145	11.82	234325_199_PRJNA1237248_SRR32733124.err
357	PRJNA429097	SRR6456361	17545327	15758571	17545327	15758571	46844	31517142	28915953	91.75	2601189	8.25	693416_90_PRJNA429097_SRR6456361.err
358	PRJNA1237248	SRR32732943	40860539	40844290			0	40844290	36407162	89.14	4437128	10.86	234325_433_PRJNA1237248_SRR32732943.err
362	PRJNA1237248	SRR32733578	43002611	42984469			0	42984469	39350604	91.55	3633865	8.45	234325_181_PRJNA1237248_SRR32733578.err
363	PRJNA763023	SRR16124232	32596658	32187573	32596658	32187573	2853162	64375146	58642997	91.10	5732149	8.90	693415_137_PRJNA763023_SRR16124232.err
364	PRJEB72525		10444221	6341420	10444221	6341420	388304	12682840	9661752	76.18	3021088	23.82	232906_86_PRJEB72525_ERR14205409.err
365	PRJNA1237248	SRR32733652	36491810	36478041			0	36478041	33253617	91.16	3224424	8.84	234325_597_PRJNA1237248_SRR32733652.err
367	PRJNA1237248	SRR32733159	47793980	47775087			0	47775087	42439472	88.83	5335615	11.17	234325_552_PRJNA1237248_SRR32733159.err
368	PRJEB72525		49194995	30361772	49194995	30361772	1680106	60723544	52740522	86.85	7983022	13.15	232906_116_PRJEB72525_ERR14207042.err
369	PRJEB59350		73326883	67427515	73326883	67427515	58868	134855030	118626276	87.97	16228754	12.03	234322_28_PRJEB59350_ERR10823058.err
370	PRJNA1237248	SRR32733173	63356548	63325477			0	63325477	55906857	88.28	7418620	11.72	234325_342_PRJNA1237248_SRR32733173.err
